date,fear
2011/3/14,13
2011/3/15,13
2011/3/16,11
2011/3/17,9
2011/3/18,9
2011/3/21,14
2011/5/24,13
2011/5/25,13
2011/6/2,12
2011/6/3,9
2011/6/6,6
2011/6/7,6
2011/6/8,6
2011/6/9,6
2011/6/10,5
2011/6/13,6
2011/6/14,5
2011/6/15,5
2011/6/16,6
2011/6/17,7
2011/6/20,9
2011/6/21,9
2011/6/22,10
2011/6/23,10
2011/6/24,11
2011/8/1,10
2011/8/2,8
2011/8/3,2
2011/8/4,5
2011/8/5,5
2011/8/8,1
2011/8/9,2
2011/8/10,2
2011/8/11,3
2011/8/12,6
2011/8/15,7
2011/8/16,11
2011/8/17,7
2011/8/18,7
2011/8/19,6
2011/8/22,7
2011/8/23,9
2011/8/24,8
2011/8/25,11
2011/8/26,12
2012/5/16,14
2012/5/17,12
2012/5/18,12
2012/5/24,14
2012/5/25,13
2012/5/29,14
2012/5/30,12
2012/5/31,10
2012/6/1,10
2012/6/4,14
2012/6/5,14
2014/2/3,13
2014/7/31,10
2014/8/1,5
2014/8/4,5
2014/8/5,5
2014/8/6,5
2014/8/7,5
2014/8/8,10
2014/8/11,7
2014/8/12,8
2014/8/13,13
2014/8/15,14
2014/9/25,8
2014/9/26,13
2014/9/29,11
2014/9/30,12
2014/10/1,7
2014/10/2,3
2014/10/3,5
2014/10/6,5
2014/10/7,6
2014/10/8,4
2014/10/9,3
2014/10/10,1
2014/10/13,0
2014/10/14,2
2014/10/15,1
2014/10/16,2
2014/10/17,7
2014/10/20,5
2014/10/21,7
2014/10/22,8
2014/10/23,11
2014/10/24,13
2015/6/29,8
2015/6/30,11
2015/7/6,13
2015/7/7,13
2015/7/8,9
2015/7/9,12
2015/7/10,14
2015/7/27,7
2015/8/7,10
2015/8/10,9
2015/8/11,12
2015/8/12,9
2015/8/13,11
2015/8/14,11
2015/8/17,14
2015/8/18,13
2015/8/19,13
2015/8/20,8
2015/8/21,8
2015/8/24,3
2015/8/25,9
2015/8/26,12
2015/8/27,13
2015/8/28,14
2015/8/31,14
2015/9/1,9
2015/9/2,13
2015/9/3,11
2015/9/4,10
2015/9/8,13
2015/9/9,13
2015/9/11,14
2015/9/14,13
2015/9/29,13
2016/1/13,14
2016/1/15,10
2016/1/19,11
2016/1/20,9
2016/1/21,13
2016/1/22,14
2016/2/8,14
2016/11/3,14
2016/11/4,14
2018/2/8,8
2018/2/9,10
2018/2/12,12
2018/2/13,13
2018/2/14,11
2018/2/28,12
2018/3/1,8
2018/3/2,10
2018/3/5,14
2018/3/19,14
2018/3/22,9
2018/3/23,7
2018/3/26,8
2018/3/27,7
2018/3/28,6
2018/3/29,8
2018/4/2,7
2018/4/3,9
2018/4/4,11
2018/4/5,13
2018/4/6,9
2018/4/9,12
2018/10/10,8
2018/10/11,5
2018/10/12,11
2018/10/15,11
2018/10/16,13
2018/10/17,14
2018/10/18,12
2018/10/19,14
2018/10/23,12
2018/10/24,6
2018/10/25,9
2018/10/26,7
2018/10/29,7
2018/10/30,10
2018/10/31,7
2018/11/1,6
2018/11/2,8
2018/11/5,9
2018/11/6,12
2018/11/12,11
2018/11/13,10
2018/11/14,7
2018/11/15,10
2018/11/16,10
2018/11/19,8
2018/11/20,7
2018/11/21,13
2018/11/23,9
2018/12/7,11
2018/12/10,9
2018/12/11,8
2018/12/12,10
2018/12/13,11
2018/12/14,8
2018/12/17,10
2018/12/18,8
2018/12/19,8
2018/12/20,5
2018/12/21,3
2018/12/24,2
2018/12/26,4
2018/12/27,8
2018/12/28,12
2018/12/31,12
2019/1/2,12
2019/1/3,10
2020/2/27,13
2020/2/28,10
2020/3/2,12
2020/3/3,10
2020/3/5,9
2020/3/6,6
2020/3/9,3
2020/3/10,6
2020/3/11,4
2020/3/12,2
2020/3/13,5
2020/3/16,3
2020/3/17,5
2020/3/18,5
2020/3/19,7
2020/3/20,8
2020/3/23,5
2020/3/24,13
2021/7/19,8
2021/7/19,13.8074
2021/8/19,14
2021/9/20,11.1
2021/9/20,11
2021/9/21,11.45
2021/9/21,11
2021/9/28,12
2021/9/28,12.4667
2021/9/29,12
2021/9/29,12.4833
2021/9/30,9
2021/9/30,9.9667
2021/10/4,9.5
2021/10/4,9
2022/4/29,14
2022/4/29,14.3286
2022/5/2,13
2022/5/2,13.2714
2022/5/5,13
2022/5/5,13.1286
2022/5/6,12.2429
2022/5/6,12
2022/5/9,8
2022/5/9,8.1857
2022/5/10,7.4
2022/5/10,7
2022/5/11,4
2022/5/11,4.0286
2022/5/12,3.2
2022/5/12,3
2022/5/13,11
2022/5/13,11.2857
2022/5/14,12.152
2022/5/15,12.152
2022/5/16,11
2022/5/16,11.7429
2022/5/18,6.6
2022/5/18,6
2022/5/19,13.7143
2022/5/19,13
2022/5/20,12
2022/5/20,12.6571
2022/5/21,11.7857
2022/5/22,11.8373
2022/6/18,14.4336
2022/6/20,14.5193
2022/9/29,13.2571
2022/9/29,13
2025/2/27,12.7571
2025/3/3,12.3429
2025/3/4,11.0429
2025/3/5,11.5143
2025/4/3,12.1429
2025/4/4,5.3857
2025/4/7,4
2025/4/8,2.9
2025/4/9,9.5
2025/4/10,5.6143
2025/4/11,8.3857
2025/4/14,12.3429
2025/4/15,13.1143
2025/4/16,11.1429
2025/4/21,12.3714
2025/4/22,13.6
2025/11/17,11.6429
2025/11/18,8.9
2025/11/19,7.8571
2025/11/20,5.1714
2025/11/21,5.6571
2025/11/24,13.6857
2026/3/18,14.485
2026/3/23,14.1252
2026/3/26,14.9189
2026/3/27,14.4654
2026/3/30,13.689
2026/4/1,13.7714
